TABLE_NAME	COLUMN_NAME	DATA_TYPE	COLUMN_TYPE	IS_NULLABLE	COLUMN_KEY	COLUMN_DEFAULT
tbl_user_multi_match_session	id	bigint	bigint	NO	PRI	NULL
tbl_user_multi_match_session	user_id	int	int	NO	MUL	NULL
tbl_user_multi_match_session	questions	longtext	longtext	NO	MUL	NULL
tbl_user_multi_match_session	date	date	date	YES		NULL
tbl_user_quiz_zone_session	id	bigint	bigint	NO	PRI	NULL
tbl_user_quiz_zone_session	user_id	int	int	NO	MUL	NULL
tbl_user_quiz_zone_session	questions	longtext	longtext	NO	MUL	NULL
tbl_user_quiz_zone_session	date	date	date	YES		NULL
tbl_user_true_false_session	id	bigint	bigint	NO	PRI	NULL
tbl_user_true_false_session	user_id	int	int	NO	MUL	NULL
tbl_user_true_false_session	questions	longtext	longtext	NO	MUL	NULL
tbl_user_true_false_session	date	date	date	YES		NULL
tbl_users	id	int	int unsigned	NO	PRI	NULL
tbl_users	firebase_id	longtext	longtext	NO	MUL	NULL
tbl_users	name	varchar	varchar(128)	NO		
tbl_users	email	varchar	varchar(128)	NO	MUL	NULL
tbl_users	mobile	varchar	varchar(32)	NO		NULL
tbl_users	type	varchar	varchar(16)	NO		NULL
tbl_users	profile	varchar	varchar(128)	NO		NULL
tbl_users	fcm_id	varchar	varchar(1024)	YES	MUL	NULL
tbl_users	web_fcm_id	varchar	varchar(1024)	YES	MUL	NULL
tbl_users	coins	int	int	NO		0
tbl_users	refer_code	varchar	varchar(128)	YES		NULL
tbl_users	friends_code	varchar	varchar(128)	YES		NULL
tbl_users	remove_ads	tinyint	tinyint	NO		0
tbl_users	daily_ads_counter	int	int	NO		0
tbl_users	daily_ads_date	date	date	NO		2023-10-19
tbl_users	status	int	int unsigned	YES		0
tbl_users	date_registered	datetime	datetime	NO		NULL
tbl_users	api_token	longtext	longtext	NO		NULL
tbl_users	app_language	varchar	varchar(512)	YES		NULL
tbl_users	web_language	varchar	varchar(512)	YES		NULL
tbl_users_badges	id	int	int	NO	PRI	NULL
tbl_users_badges	user_id	int	int	NO		NULL
tbl_users_badges	dashing_debut	int	int	NO		NULL
tbl_users_badges	dashing_debut_counter	int	int	NO		NULL
tbl_users_badges	combat_winner	int	int	NO		NULL
tbl_users_badges	combat_winner_counter	int	int	NO		NULL
tbl_users_badges	clash_winner	int	int	NO		NULL
tbl_users_badges	clash_winner_counter	int	int	NO		NULL
tbl_users_badges	most_wanted_winner	int	int	NO		NULL
tbl_users_badges	most_wanted_winner_counter	int	int	NO		NULL
tbl_users_badges	ultimate_player	int	int	NO		NULL
tbl_users_badges	quiz_warrior	int	int	NO		NULL
tbl_users_badges	quiz_warrior_counter	int	int	NO		NULL
tbl_users_badges	super_sonic	int	int	NO		NULL
tbl_users_badges	flashback	int	int	NO		NULL
tbl_users_badges	brainiac	int	int	NO		NULL
tbl_users_badges	big_thing	int	int	NO		NULL
tbl_users_badges	elite	int	int	NO		NULL
tbl_users_badges	thirsty	int	int	NO		NULL
tbl_users_badges	thirsty_date	date	date	YES		NULL
tbl_users_badges	thirsty_counter	int	int	NO		NULL
tbl_users_badges	power_elite	int	int	NO		NULL
tbl_users_badges	power_elite_counter	int	int	NO		NULL
tbl_users_badges	sharing_caring	int	int	NO		NULL
tbl_users_badges	streak	int	int	NO		NULL
tbl_users_badges	streak_date	date	date	YES		NULL
tbl_users_badges	streak_counter	int	int	NO		NULL
tbl_users_in_app	id	int	int	NO	PRI	NULL
tbl_users_in_app	pay_from	tinyint	tinyint	NO		NULL
tbl_users_in_app	uid	longtext	longtext	NO	MUL	NULL
tbl_users_in_app	user_id	int	int	NO	MUL	NULL
tbl_users_in_app	product_id	text	text	NO	MUL	NULL
tbl_users_in_app	amount	int	int	NO		NULL
tbl_users_in_app	status	varchar	varchar(50)	NO		NULL
tbl_users_in_app	transaction_id	text	text	NO		NULL
tbl_users_in_app	date	datetime	datetime	NO		NULL
tbl_users_in_app	purchase_token	longtext	longtext	NO		NULL
tbl_users_in_app	responseData	longtext	longtext	NO		NULL
tbl_users_statistics	id	int	int	NO	PRI	NULL
tbl_users_statistics	user_id	int	int	NO	MUL	NULL
tbl_users_statistics	questions_answered	int	int	NO		NULL
tbl_users_statistics	correct_answers	int	int	NO		NULL
tbl_users_statistics	strong_category	int	int	NO		NULL
tbl_users_statistics	ratio1	double	double	NO		NULL
tbl_users_statistics	weak_category	int	int	NO		NULL
tbl_users_statistics	ratio2	double	double	NO		NULL
tbl_users_statistics	best_position	int	int	NO		NULL
tbl_users_statistics	date_created	datetime	datetime	NO		NULL
tbl_web_settings	id	int	int	NO	PRI	NULL
tbl_web_settings	language_id	int	int	YES		14
tbl_web_settings	type	varchar	varchar(32)	NO		NULL
tbl_web_settings	message	text	text	YES		NULL
